title,author,genres,plot,vote_average,vote_count,release_date,large_cover_url
Death Race 2,Roel Reiné,"Action, Thriller, Science Fiction","In the world's most dangerous prison, a new game is born: Death Race. The rules of this adrenaline-fueled blood sport are simple, drive or die. When repentant convict Carl Lucas discovers there's a price on his head, his only hope is to survive a twisted race against an army of hardened criminals and tricked-out cars.",5.8,1090,2010-11-12,https://image.tmdb.org/t/p/original/tzqK7E3dTyScehNhoIucrhGIMF9.jpg
Colombiana,Olivier Megaton,"Action, Thriller, Crime, Drama","After witnessing her parents’ murder as a child in Bogota, Cataleya Restrepo grows up to be a stone-cold assassin. She works for her uncle as a hitman by day, but her personal time is spent engaging in vigilante murders that she hopes will lead her to her ultimate target: the mobster responsible for her parents' death.",6.624,2580,2011-07-27,https://image.tmdb.org/t/p/original/rEdGDgRB3gducezNSIyx2lbKQy4.jpg
Cinderella II: Dreams Come True,John Kafka,"Family, Animation, Romance, Fantasy","As a newly crowned princess, Cinderella quickly learns that life at the Palace - and her royal responsibilities - are more challenging than she had imagined. In three heartwarming tales, Cinderella calls on her animal friends and her Fairy Godmother to help as she brings her own grace and charm to her regal role and discovers that being true to yourself is the best way to make your dreams come true.",6.1,1442,2002-02-23,https://image.tmdb.org/t/p/original/kEDbtKhZsqPo7ypCzoz3fkq73Pc.jpg
The Cabin in the Woods,Drew Goddard,"Horror, Mystery",A group of teens journey to a remote cabin in the woods where their fate is unknowingly controlled by technicians as part of a worldwide conspiracy where all horror movie clichés are revealed to be part of an elaborate sacrifice ritual.,6.626,7840,2012-04-12,https://image.tmdb.org/t/p/original/kjDXrK3ReIwuDrpWElI5OQkKYTA.jpg
Pan's Labyrinth,Guillermo del Toro,"Fantasy, Drama, War","Living with her tyrannical stepfather in a new home with her pregnant mother, 10-year-old Ofelia feels alone until she explores a decaying labyrinth guarded by a mysterious faun who claims to know her destiny. If she wishes to return to her real father, Ofelia must complete three terrifying tasks.",7.757,10527,2006-10-10,https://image.tmdb.org/t/p/original/8SBJbJ6Rt6ujkuvcrJY46tqsTSt.jpg
Terminator 3: Rise of the Machines,Jonathan Mostow,"Action, Thriller, Science Fiction","It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor … just like he promised.",6.2,6620,2003-07-02,https://image.tmdb.org/t/p/original/kAv8OqLNBPEQ8qdTvaEpKssjgnj.jpg
The Conjuring: Last Rites,Michael Chaves,Horror,The next chapter in the story of Ed and Lorraine Warren.,0.0,0,2025-09-04,https://image.tmdb.org/t/p/original/38eo8njAYnMejGKoYHwvHxibHJZ.jpg
Monsters University,Dan Scanlon,"Animation, Family",A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,7.04,10616,2013-06-19,https://image.tmdb.org/t/p/original/jw99zSvIZkvyMdMKQ7XCCN13Vsm.jpg
Scary Movie 5,Malcolm D. Lee,Comedy,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.",4.802,2784,2013-04-11,https://image.tmdb.org/t/p/original/xx8Lw28eJGEn8QyQVQExuIBDo3z.jpg
Memento,Christopher Nolan,"Mystery, Thriller","Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",8.181,14871,2000-10-11,https://image.tmdb.org/t/p/original/nWtySDlffTfwAa0rSfq61o33ZXV.jpg
Code 8 Part II,Jeff Chan,"Science Fiction, Action, Crime","In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.",6.4,567,2024-02-27,https://image.tmdb.org/t/p/original/ao4eKQf4K8qOQWACLSqkwt4y6CT.jpg
Reservoir Dogs,Quentin Tarantino,"Crime, Thriller","A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",8.121,14295,1992-09-02,https://image.tmdb.org/t/p/original/a6hUyPLPEGgm5wBzjPs7fyqqaM0.jpg
Paris Christmas Waltz,Michael Damian,"Romance, Comedy, TV Movie","Emma relinquishes her job so a colleague with a family will keep his. Contemplating life’s next steps, Emma meets a professional dancer, Leo whose love for competitive dancing is waning, until a once in a lifetime opportunity arises for the novice to join the pro and sweep all of Paris off its feet.",6.8,27,2023-11-19,https://image.tmdb.org/t/p/original/pHBSeZitM5S9GAYqj4R4PGHH6nq.jpg
Antichrist,Lars von Trier,"Drama, Horror, Thriller","A grieving couple retreats to their cabin 'Eden' in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse.",6.6,2575,2009-05-20,https://image.tmdb.org/t/p/original/ge7zbYvpfsDP3luKi0iSpzOgncM.jpg
Purple Hearts,Elizabeth Allen Rosenbaum,"Romance, Drama","An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real.",8.1,2539,2022-07-29,https://image.tmdb.org/t/p/original/rYS7xt2lPUdVDIc0Y1uy4zIOPEV.jpg
Shaun of the Dead,Edgar Wright,"Horror, Comedy","Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.",7.543,8461,2004-04-09,https://image.tmdb.org/t/p/original/dgXPhzNJH8HFTBjXPB177yNx6RI.jpg
Meet the Fockers,Jay Roach,"Comedy, Romance","Hard-to-crack ex-CIA man Jack Byrnes and his wife Dina head for the warmer climes of Florida to meet the parents of their son-in-law-to-be, Greg Focker. Unlike their happily matched offspring, the future in-laws find themselves in a situation of opposites that definitely do not attract.",6.247,4747,2004-12-22,https://image.tmdb.org/t/p/original/xkIFs7mbVszvidXFkLXjuYvzSLS.jpg
Boss Ma'am,Iar Arondaing,Drama,"V.A.D. and Charm try to outplay each other in a game of deceit. When a terror female boss was blackmailed by her assistant, she has no choice but to obey and play with her.",0.0,0,2024-11-26,https://image.tmdb.org/t/p/original/i2dtlAOk8OEFW8yM82h4Bp0BCUU.jpg
Memories of Murder,Bong Joon-ho,"Crime, Drama, Thriller","During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.",8.1,3815,2003-05-02,https://image.tmdb.org/t/p/original/jcgUjx1QcupGzjntTVlnQ15lHqy.jpg
Shooter,Antoine Fuqua,"Drama, Action, Thriller","A top Marine sniper, Bob Lee Swagger, leaves the military after a mission goes horribly awry and disappears, living in seclusion. He is coaxed back into service after a high-profile government official convinces him to help thwart a plot to kill the President of the United States. Ultimately double-crossed and framed for the attempt, Swagger becomes the target of a nationwide manhunt. He goes on the run to track the real killer and find out who exactly set him up, and why, eventually seeking revenge against some of the most powerful and corrupt leaders in the free world.",7.122,4907,2007-03-22,https://image.tmdb.org/t/p/original/kAtjrq4DNyYo38Ef2c5tH9z8Z9R.jpg
Wanted Man,Dolph Lundgren,Action,"Follows a police officer who must retrieve an eyewitness and escort her after a cartel shooting leaves several DEA agents dead, but then he must decide who to trust when they discover that the attack was executed by American forces.",6.8,78,2024-04-01,https://image.tmdb.org/t/p/original/pmdgdb8biQLLzTjySZLPdK13KwM.jpg
Monster's Battlefield,Xu Shixing,"Science Fiction, Action, Horror","The soldier king Qin Yang's fiancée Ye Qin met with an unknown beast and died tragically. Gu Ping invites him to participate in Ye Qin's scientific research before her death. But Gu Ping is using Ye Qin's research results to combine the genes of unknown beasts to create the ""Zero"" dragon creature. The intelligent dragon creature, coupled with the extra-terrestrial beast evolved by devouring,  an imminent city war is coming...",6.8,190,2021-12-27,https://image.tmdb.org/t/p/original/9r1ZA7YJvlSBRNGDmjBAIT0iZhD.jpg
The Woman King,Gina Prince-Bythewood,"Action, Drama, History","The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",7.668,2067,2022-09-16,https://image.tmdb.org/t/p/original/5O1GLla5vNuegqNxNhKL1OKE1lO.jpg
The Mummy: Tomb of the Dragon Emperor,Rob Cohen,"Adventure, Action, Fantasy","Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",5.492,4426,2008-07-01,https://image.tmdb.org/t/p/original/A3acM1lX5PNWQa6r5qeMAJOxbnT.jpg
The Ledge,Howard J. Ford,"Thriller, Adventure","A rock climbing adventure between two friends turns into a terrifying nightmare. After Kelly captures the murder of her best friend on camera, she becomes the next target of a tight knit group of friends who will stop at nothing to destroy the evidence and anyone in their way.",6.6,345,2022-02-18,https://image.tmdb.org/t/p/original/S99eCSnRFfeZJmDaIGIZF58H7w.jpg
Skal: Fight for Survival,Benjamin Cappelletti,"Action, Horror, Comedy, Thriller","My name's Arthur, a huge Internet star who's just hit 3 million subs. While in the midst of throwing an epic party to celebrate, the universe had the balls to bring on the effing apocalypse and cut my night short. What was supposed to be a perfect hangover, has turned into an epic fight for survival.",5.5,80,2023-11-24,https://image.tmdb.org/t/p/original/1On8iF3AsFIbpyfZg1xiGWMAFBn.jpg
Plane,Jean-François Richet,"Action, Adventure, Thriller","After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",7.0,2224,2023-01-12,https://image.tmdb.org/t/p/original/qi9r5xBgcc9KTxlOLjssEbDgO0J.jpg
Ferrari,Michael Mann,"History, Drama","Set during the summer of 1957. Ex-racecar driver, Enzo Ferrari, is in crisis. Bankruptcy stalks the company he and his wife, Laura, built from nothing ten years earlier. Their tempestuous marriage struggles with the mourning for one son and the acknowledgement of another.",6.4,961,2023-12-14,https://image.tmdb.org/t/p/original/LyCOcGqOTyTmaXu2TK8LfGveIb.jpg
The Game,David Fincher,"Drama, Thriller, Mystery","In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a cold-hearted loner, receives an unusual present from his younger brother, Conrad: a gift certificate to play a unique kind of game. In nary a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.",7.6,6557,1997-09-12,https://image.tmdb.org/t/p/original/4WYbP7JEzdbfWpcWOCZIAFF4NMk.jpg
Ant-Man,Peyton Reed,"Science Fiction, Action, Adventure","Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",7.076,19726,2015-07-14,https://image.tmdb.org/t/p/original/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg
Shark Tale,Bibo Bergeron,"Animation, Action, Comedy, Family","Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",6.028,6320,2004-09-20,https://image.tmdb.org/t/p/original/g2eaIibtKlnZi3T69kFITfCWWPs.jpg
Mom's Friend 2,Kim Dae-seong-I,Romance,"An art student named Gwang-ho gets dumped by his girlfriend because she was only his source of comfort, and that he's a Mama's boy and a premature ejaculator. He tries to avoid seeing her by going to a different academy and that's when his mother introduces him to her friend Soo-yeon, a sophisticated and intelligent looking woman. Gwang-ho falls for her.  Gwang-ho's mother suddenly leaves for Australia because his father is sick and Gwang-ho gets to stay in Soo-yeon's house for a few days. Looking at her, he thinks of all the things he would like to do with her and Soo-yeon's niece Ha-kyeong stimulates him to do something about his feelings.",5.2,11,2016-09-01,https://image.tmdb.org/t/p/original/mLlke4cd9R65FYqtMVUZ3h3Z2z9.jpg
Kiskisan,Bobby Bonifacio,Drama,"A steamy tale of love, lust, and betrayal. When Adele's sister Bea returns with her girlfriend Cheska, a secret affair begins between Cheska and Adele's boyfriend, Rener, leading to a climactic ending when they're caught.",0.0,0,2024-09-26,https://image.tmdb.org/t/p/original/zs7UlTjgUy0VfUC0qJPklLmpPnY.jpg
The Banker,George Nolfi,Drama,"In the 1960s, two entrepreneurs hatch an ingenious business plan to fight for housing integration—and equal access to the American Dream.",7.6,940,2020-03-06,https://image.tmdb.org/t/p/original/biXzsw22U6vSd0XktmZwAOc4uik.jpg
Silent Night,John Woo,"Action, Thriller","A tormented father witnesses his young son die when caught in a gang's crossfire on Christmas Eve. While recovering from a wound that costs him his voice, he makes vengeance his life's mission and embarks on a punishing training regimen in order to avenge his son's death.",6.243,741,2023-11-30,https://image.tmdb.org/t/p/original/1NIlmqPD1WKfjtalSKRRgBZ6lnz.jpg
Red Dawn,John Milius,"Action, Thriller, War, Drama, Science Fiction","It is the dawn of World War III. In mid-western America, a group of teenagers band together to defend their town—and their country—from invading Soviet forces.",6.3,794,1984-08-10,https://image.tmdb.org/t/p/original/p66hn6JWfBZe9kj2UdYp3p2LRsK.jpg
Bambi,David Hand,"Animation, Drama, Family","Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",7.009,5635,1942-02-11,https://image.tmdb.org/t/p/original/wV9e2y4myJ4KMFsyFfWYcUOawyK.jpg
Clueless,Amy Heckerling,"Comedy, Romance, Drama","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",7.3,4385,1995-07-19,https://image.tmdb.org/t/p/original/i6oWPOklGIDKG45tPjcLNH0fRNO.jpg
Die Hard 2,Renny Harlin,"Action, Thriller","One year after his heroics in Los Angeles, John McClane is an off-duty cop who is the wrong guy in the wrong place at the wrong time. On a snowy Christmas Eve, as he waits for his wife's plane to land at Washington Dulles International Airport, terrorists take over the air traffic control system in a plot to free a South American army general and drug smuggler being flown into the US to face drug charges. It's now up to McClane to take on the terrorists, while coping with an inept airport police chief, an uncooperative anti-terrorist squad, and the life of his wife and everyone else trapped in planes circling overhead.",6.956,5780,1990-07-03,https://image.tmdb.org/t/p/original/1gphGfZKKnxEVJRLYT9VyyDaOaV.jpg
Brokeback Mountain,Ang Lee,"Drama, Romance","In 1960s Wyoming, two men develop a strong emotional and sexual relationship that endures as a lifelong connection complicating their lives as they get married and start families of their own.",7.8,6964,2005-10-22,https://image.tmdb.org/t/p/original/oyDdvdDZPcNNNOJJXNwmLDw9jGL.jpg
Basic Instinct,Paul Verhoeven,"Thriller, Mystery","Catherine, a novelist with an insatiable sexual appetite, becomes a prime suspect when her boyfriend is brutally murdered -- a crime she had described in her latest story.",6.9,3854,1992-03-20,https://image.tmdb.org/t/p/original/gC1QF3vCkbcqKJjzYfQcz01zEC4.jpg
Metropolis,Fritz Lang,"Drama, Science Fiction","In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",8.1,2762,1927-02-06,https://image.tmdb.org/t/p/original/knJVEJskWNQELW9Prjxs4xyT64v.jpg
Moonfall,Roland Emmerich,"Science Fiction, Adventure, Action",A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,6.3,3119,2022-02-03,https://image.tmdb.org/t/p/original/putDqnndrdRzRRy5sVPYMH5FTjI.jpg
Mechanic: Resurrection,Dennis Gansel,"Action, Crime, Thriller","Arthur Bishop thought he had put his murderous past behind him when his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best, make them look like accidents.",6.017,3349,2016-08-25,https://image.tmdb.org/t/p/original/dhAbCiUIkbaT4M4CL26fuAxim3r.jpg
Pin/Ya,Omar Deroca,Drama,"A strong childhood bond between two girls grows into something more. Learning to play with fire as they explore their bodies, Pin and Aya soon learn that their feelings for each other are beyond friendship. With their friendship at stake, will they take a chance at love?",0.0,0,2024-12-06,https://image.tmdb.org/t/p/original/jGKreGg9s4ruL25UFt7budrGJfy.jpg
Return of the Jedi,Richard Marquand,"Adventure, Action, Science Fiction","Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",7.899,15680,1983-05-25,https://image.tmdb.org/t/p/original/jQYlydvHm3kUix1f8prMucrplhm.jpg
Casino Royale,Martin Campbell,"Adventure, Action, Thriller","Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",7.558,10689,2006-11-14,https://image.tmdb.org/t/p/original/lMrxYKKhd4lqRzwUHAy5gcx9PSO.jpg
The Wall,Doug Liman,"War, Thriller, Drama",An American sniper and his spotter engage in a deadly cat-and-mouse game with an Iraqi sniper.,6.374,954,2017-05-12,https://image.tmdb.org/t/p/original/vMeX1Gh0L5tauhYnpEkVs8WD2rL.jpg
Chungking Express,Wong Kar-Wai,"Drama, Comedy, Romance","Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant.",8.0,1808,1994-07-14,https://image.tmdb.org/t/p/original/fv0KUkKoEr1P6Z0lltVyWwtFg5e.jpg
Good Boy,Viljar Bøe,"Horror, Thriller","Christian – a millionaire heir, meets Sigrid – a young student, on a dating app. They hit it off quickly, but there's only one problem: Christian lives with Frank, a man who dresses up and constantly acts like a dog.",6.5,276,2022-06-03,https://image.tmdb.org/t/p/original/sjtlOHNyHpLTlNoWFtFICfO1zom.jpg
Ready or Not,Tyler Gillett,"Horror, Comedy",A young bride's wedding night turns into her worst nightmare when her ridiculously rich in-laws force her to play a gruesome game of hide-in-seek.,7.0,4539,2019-08-21,https://image.tmdb.org/t/p/original/vOl6shtL0wknjaIs6JdKCpcHvg8.jpg
Joy,Ben Taylor,Drama,"A young nurse, a visionary scientist and an innovative surgeon face opposition from the church, state, media and medical establishment, in their pursuit of the world’s first ‘test tube baby’, Louise Joy Brown.",6.8,70,2024-11-15,https://image.tmdb.org/t/p/original/syg9M7WQ2tjUwZjx3HRSKc38H0D.jpg
Naruto Shippuden the Movie,Hajime Kamegaki,"Animation, Action, Fantasy","Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death.""",7.393,989,2007-08-04,https://image.tmdb.org/t/p/original/x2CL0VzHq8DwD1UDG9Jck7VZH1L.jpg
The Quest for Tom Sawyer's Gold,Kirk Harris,"Adventure, Family","Agatha Armstrong and her trusty sidekick Mrs. Mac were once the world’s most daring adventurers. But when her son Ant came along, everything quickly changed and her devil-may-care ways took a backseat to being over-protective and terrified of anything that posed a risk to her family.",5.1,11,2023-06-22,https://image.tmdb.org/t/p/original/zceLrHeYOgJHw1tw6MUi15N2NUz.jpg
Star Wars: Episode I - The Phantom Menace,George Lucas,"Adventure, Action, Science Fiction","Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",6.555,14607,1999-05-19,https://image.tmdb.org/t/p/original/mxhaOjcX1BdWw26s6c8vcZeKqzj.jpg
Casino,Martin Scorsese,"Crime, Drama","In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",8.0,5811,1995-11-22,https://image.tmdb.org/t/p/original/4TS5O1IP42bY2BvgMxL156EENy.jpg
Dragon Ball Z: Wrath of the Dragon,Mitsuo Hashimoto,"Animation, Action, Science Fiction",The Z Warriors discover an unopenable music box and are told to open it with the Dragon Balls. The contents turn out to be a warrior named Tapion who had sealed himself inside along with a monster called Hildegarn. Goku must now perfect a new technique to defeat the evil monster.,7.3,723,1995-07-15,https://image.tmdb.org/t/p/original/ldTcRH6A2bQ8rd6hGb5C0I4JjIU.jpg
Hugo,Martin Scorsese,"Adventure, Drama, Family","Orphaned and alone except for an uncle, Hugo Cabret lives in the walls of a train station in 1930s Paris. Hugo's job is to oil and maintain the station's clocks, but to him, his more important task is to protect a broken automaton and notebook left to him by his late father. Accompanied by the goddaughter of an embittered toy merchant, Hugo embarks on a quest to solve the mystery of the automaton and find a place he can call home.",7.176,7163,2011-11-22,https://image.tmdb.org/t/p/original/sAsxRXyvGcM7FeOdemiR3Fr2mhF.jpg
Morbius,Daniel Espinosa,"Action, Science Fiction, Fantasy","Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",5.997,4314,2022-03-30,https://image.tmdb.org/t/p/original/6JjfSchsU6daXk2AKX8EEBjO3Fm.jpg
Insidious: The Red Door,Patrick Wilson,"Horror, Thriller","To put their demons to rest once and for all, Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before, facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.",6.6,1688,2023-07-05,https://image.tmdb.org/t/p/original/d07phJqCx6z5wILDYqkyraorDPi.jpg
Resident Evil: Death Island,Eiichirō Hasumi,"Animation, Action, Horror","In San Francisco, Jill Valentine is dealing with a zombie outbreak and a new T-Virus, Leon Kennedy is on the trail of a kidnapped DARPA scientist, and Claire Redfield is investigating a monstrous fish that is killing whales in the bay. Joined by Chris Redfield and Rebecca Chambers, they discover the trail of clues from their separate cases all converge on the same location, Alcatraz Island, where a new evil has taken residence and awaits their arrival.",7.4,983,2023-06-22,https://image.tmdb.org/t/p/original/lRLNxPAjWUjTVNKuhssUCqsn882.jpg
Predator 2,Stephen Hopkins,"Science Fiction, Action, Thriller",A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.,6.3,3307,1990-11-21,https://image.tmdb.org/t/p/original/83X4VwY9sdSJykskmsplIVG0a4h.jpg
Murder Mystery,Kyle Newacheck,"Action, Comedy, Mystery","On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",6.275,4422,2019-05-25,https://image.tmdb.org/t/p/original/mVygOa7mW2jnHROwVuZ3XQzuXF9.jpg
Striking Rescue,Cheng Siyi,"Crime, Action, Thriller","Former security expert Bai An kidnaps young heiress He Ting, intending to use her to take revenge on her father. However, he inadvertently saves her from a drug cartel massacre. Despite her youth, the resourceful He Ting, now isolated and uncertain of her father’s fate, proposes an alliance with Bai An to search for her missing father. Together, they embark on an unexpected journey that challenges both their motives and trust.",6.3,5,2024-12-05,https://image.tmdb.org/t/p/original/uTKfD1CdjCLMVITnzblaqVSTxma.jpg
The Big Lebowski,Joel Coen,"Comedy, Crime","Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",7.843,11181,1998-03-06,https://image.tmdb.org/t/p/original/uJNhSEVXNtdZ7Ez5Pye1ZYeMjoe.jpg
Willy Wonka & the Chocolate Factory,Mel Stuart,"Family, Fantasy, Comedy","When eccentric candy man Willy Wonka promises a lifetime supply of sweets and a tour of his chocolate factory to five lucky kids, penniless Charlie Bucket seeks the golden ticket that will make him a winner.",7.5,3582,1971-06-29,https://image.tmdb.org/t/p/original/liuz3OF2Vu2C3u2xPKlArlVkLzX.jpg
Bad Genius,J.C. Lee,"Drama, Thriller","A highly-gifted student sees an opportunity to escape her roots by helping wealthy classmates cheat on key exams, but at great risk to her future.",6.1,32,2024-09-12,https://image.tmdb.org/t/p/original/h5hONXZ4hPgniv1DXMB1IZohhpO.jpg
Scrooged,Richard Donner,"Fantasy, Comedy, Drama","Frank Cross is a wildly successful television executive whose cold ambition and curmudgeonly nature has driven away the love of his life. But after firing a staff member on Christmas Eve, Frank is visited by a series of ghosts who give him a chance to re-evaluate his actions and right the wrongs of his past.",6.8,1502,1988-11-22,https://image.tmdb.org/t/p/original/p48rmU1oZfNIS0i5wY0dKkXYiKe.jpg
The Rock,Michael Bay,"Action, Adventure, Thriller","When vengeful General Francis X. Hummel seizes control of Alcatraz Island and threatens to launch missiles loaded with deadly chemical weapons into San Francisco, only a young FBI chemical weapons expert and notorious Federal prisoner have the skills to penetrate the impregnable island fortress and take him down.",7.1,4658,1996-06-07,https://image.tmdb.org/t/p/original/juqEMUcEZDNMo5AowLr0r4NwSSN.jpg
Men in Black 3,Barry Sonnenfeld,"Action, Comedy, Science Fiction","Agents J and K are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K to save his partner, the agency, and the future of humankind.",6.523,10276,2012-05-23,https://image.tmdb.org/t/p/original/1TBpVlhcW7kFgDCF1THdbwh9i3c.jpg
Baghead,Alberto Corredor,Horror,"Following the death of her estranged father, Iris learns she has inherited a run-down, centuries-old pub. She travels to Berlin to identify her father’s body and meet with The Solicitor to discuss the estate. Little does she know, when the deed is signed she will become inextricably tied to an unspeakable entity that resides in the pub’s basement – Baghead – a shape-shifting creature that can transform into the dead.",6.6,346,2023-12-28,https://image.tmdb.org/t/p/original/lbOyeiiRYAE6Nm2e7xiNAAaRwZB.jpg
The Hating Game,Peter Hutchings,"Drama, Comedy, Romance","Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him.",7.3,1049,2021-12-09,https://image.tmdb.org/t/p/original/ij57gNq1Kg6GgmWEBOW3SqEpyjg.jpg
Hypnotic,Robert Rodriguez,"Mystery, Thriller, Science Fiction",A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.,6.2,1207,2023-05-11,https://image.tmdb.org/t/p/original/m0mYmlN9AewOGSOl7Q1ZgZvEeUU.jpg
Looper,Rian Johnson,"Action, Thriller, Science Fiction","In the year 2044, time travel has not yet been invented but in 30 years it will have been. When the mob wants to get rid of someone, they will send their target into the past where a looper, a hired gun, like Joe is waiting to mop up. Joe is getting rich and life is good until the day the mob decides to close the loop, sending back Joe's future self for assassination.",6.887,10142,2012-09-26,https://image.tmdb.org/t/p/original/3svXyzdGVerYfSqHT631ZqllMNM.jpg
