Title,Author,Genres,Plot,Vote Average,Vote Count,Release Date,Large Cover URL
Fight Club,"Chuck Palahniuk, James Colby, Javier Calvo Perales, Jordi Cussà Balaguer","Fiction, Millennialism, Young men, Science fiction, open_syllabus_project, Hand-to-hand fighting, Gangs, Self-destructive behavior, Boxing, Aggressiveness, Fiction, general, United states, fiction, Fiction, media tie-in, Fiction, science fiction, action & adventure, Milenarismo, Novela, Hombres jóvenes, Millénarisme, Romans, nouvelles, Jeunes hommes, Novela norteamericana, Apocalyptic fantasies","A man who struggles with insomnia meets a colorful extremist, and they create a secret organization together.

Chuck Palahniuk showed himself to be his generation’s most visionary satirist in this, his first book. Fight Club’s estranged narrator leaves his lackluster job when he comes under the thrall of Tyler Durden, an enigmatic young man who holds secret after-hours boxing matches in the basement of bars. There, two men fight ""as long as they have to."" This is a gloriously original work that exposes the darkness at the core of our modern world.",3.3,5,1996,http://covers.openlibrary.org/b/id/7890578-L.jpg
The Final Empire,Brandon Sanderson,"Courts and courtiers, Women revolutionaries, Fiction, Fiction, fantasy, general, Fantasy, Adventure, Magic, Thieves, Nobility, Covert Operations, Mystical powers, Upraising, Fiction, fantasy, epic, Epic, Fantasy fiction, Good and evil, Slaves, Fantasía, Ficción, Magia, Adulto","For a thousand years ashes have fallen from the sky.  For a thousand years nothing has flourished.  For a thousand years the skaa have been enslaved and live in misery, mired in inevitable fear.  For a thousand years the Lord Ruler has reigned with absolute power, ruling thanks to terror, his powers and his immortality, aided by ""benders"" and ""inquisitors"", along with the powerful magic of Allomancy.",3.2,4,2001,http://covers.openlibrary.org/b/id/14658160-L.jpg
The Sword of Shannara,Terry Brooks,"Fantasy, Fiction, Shannara (imaginary place), fiction, Fiction, fantasy, epic, Fiction, fantasy, general, Elves, Fiction in English, Shannara (Imaginary place), magic, Druids and Druidism, Swords, Good and evil, Quests (Expeditions), Fantasy fiction, Shannara (Lieu imaginaire), Romans, nouvelles, Elfes","A young man and his brother set out on a journey to find the magical ""Sword of Shannara"".  Only the mystical sword can defeat the evil overlord and his minions.",3.3,13,1976,http://covers.openlibrary.org/b/id/908811-L.jpg
Cloud Atlas,David Mitchell,"Fate and fatalism, Fiction, Reincarnation, Fantasy, Fantasy fiction, Imaginary Voyages, Fiction, fantasy, historical, nyt:trade-fiction-paperback=2012-08-19, New York Times bestseller, New York Times reviewed, Science fiction, historical fiction","From David Mitchell, the Booker Prize nominee, award-winning writer and one of the featured authors in Granta’s “Best of Young British Novelists 2003” issue, comes his highly anticipated third novel, a work of mind-bending imagination and scope.

A reluctant voyager crossing the Pacific in 1850; a disinherited composer blagging a precarious livelihood in between-the-wars Belgium; an ambitious journalist in Governor Reagan’s California; a vanity publisher fleeing the mendicant and violent family of his star author; a genetically modified “dinery server” on death-row; and Zachry, a young Pacific Islander witnessing the nightfall of science and civilisation -- the narrators of Cloud Atlas hear each other’s echoes down the corridor of history, and their destinies are changed in ways great and small.

In his captivating third novel, David Mitchell erases the boundaries of language, genre and time to offer a meditation on humanity’ s dangerous will to power, and where it may lead us",3.6,26,2004,http://covers.openlibrary.org/b/id/6714077-L.jpg
Maskerade,Terry Pratchett,"Discworld (Imaginary place), Opera, Fiction, Fantasy, Witches, Fiction, fantasy, general, Discworld (imaginary place), fiction, Granny weatherwax (fictitious character), fiction, Fiction, humorous, Fiction, humorous, general, English literature","The story begins with Agnes Nitt leaving Lancre to seek a career at the Opera House in Ankh-Morpork. When Granny Weatherwax realizes Nanny Ogg has written an immensely popular cookbook but has not been paid by the publisher, the witches also leave for Ankh-Morpork to collect the money, as well as to attempt to recruit Agnes into their coven, to replace Magrat Garlick who left the coven when she became Queen of Lancre (in Lords and Ladies). This has the side benefit of distracting Granny from becoming obsessive and self-centered, or so Nanny believes to her great relief. Agnes Nitt is chosen as a member of the chorus, where she meets Christine, a more popular but less talented girl. The Opera House Ghost, who has long haunted the opera house without much incident, begins to commit seemingly random murders staged as ""accidents"", and also requests that Christine be given lead roles in several upcoming productions. Due to her incredibly powerful and versatile voice, Agnes is asked to sing the parts from the background, unbeknownst to Christine or the audience. Having discovered the problems at the opera house and also having coerced the publisher to pay Nanny richly for her book, the witches investigate the mystery, with Granny posing as a rich patron, and Nanny insinuating herself into the opera house staff. Agnes unmasks Walter Plinge, the janitor, as the ghost, though as he is seemingly harmless, the others are unconvinced. Another employee is suspected, but turns out to be a member of the Cable Street Particulars. The witches determine that the finances of the Opera House, which are a complete mess, have been made so intentionally in order to hide the fact that money is being stolen, with the murders being used either as a distraction or to cover evidence. It is finally revealed that two people had been masquerading as the ghost. The original (and harmless) ghost, Walter Plinge, was being psychologically manipulated by the second ghost, who assumed the identity to commit the murders and theft. With the witches' help, Walter is able to overcome his fears and help defeat the murderer. - Wikipedia.",4.0,20,1995,http://covers.openlibrary.org/b/id/14646574-L.jpg
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,"Vampires, Cocktail servers, Telepathy, Waitresses, Fiction, Fantasy, New York Times bestseller, Urban Fantasy, nyt:mass_market_paperback=2010-09-11, Vampires -- Fiction, Telepathy -- Fiction, Waitresses -- Fiction, Louisiana -- Fiction, Amerikanisches Englisch, Large type books, Fiction, mystery & detective, women sleuths, Fiction, fantasy, contemporary, Vampires, fiction, Stackhouse, sookie (fictitious character), fiction, Louisiana, fiction, Fiction, occult & supernatural, United states, fiction, Fiction, romance, paranormal, general, Sookie Stackhouse (Fictitious character), Science fiction, fantasy, horror","For years, Charlaine Harris has delighted fans with her mystery series featuring small-town waitress-turned-paranormal sleuth Sookie Stackhouse. Now, we are pleased to offer her first novel in the series in a special hardcover edition.  And with HBO launching an all-new show, True Blood, based on the Southern Vampire novels, the demand for Charlaine Harris and Sookie Stackhouse will be bigger than ever.",3.9,5,2001,http://covers.openlibrary.org/b/id/6399102-L.jpg
The White Dragon,Anne McCaffrey,"Pern (Imaginary place), Fiction in English, Fiction, Science fiction, Life on other planets, Space colonies, Dragons, Fantasy fiction, Science Fiction - General, Non-Classifiable, Fiction - Science Fiction, Pern (imaginary place), fiction, Fiction, fantasy, epic, Accessible book, Protected DAISY, OverDrive","On the planet Pern, which was colonised hundreds of years ago by Earth folk looking for a more agrarian lifestyle, ""dragons"" help humans to fight a deadly Thread that falls from a neighbouring planet as it cycles past once every couple of hundred years.  When dragons hatch, each gold (the Queen), bronze, blue or green dragon makes a telepathic connection with a child, and they beome inseparable.  Naturally, lads destined to inherit and rule the semi-autonomous Holds cannot be part of this Thread-fighting life, but when young Lord Jaxom sees the struggle the last small egg is having, he can't help himself and runs to its assistance.  The poor little runt is white and nobody expects it to live long, so Jaxom is allowed to keep Ruth.",4.2,7,1978,http://covers.openlibrary.org/b/id/207388-L.jpg
Bleach,Tite Kubo,"Graphic novels, Translations into English, High school students, Soul, Fiction, Ichigo Kurosaki (Fictitious character), Ghost stories, Fantasy comic books, strips, Supernatural, Ghosts, Comic books, strips, Psychics, Rukia Kuchiki (Fictitious character), Good and evil, Manga, Cartoons and comics, Comics & graphic novels, manga, fantasy, Comics & graphic novels, manga, science fiction, Comics & graphic novels, east asian style, manga, science fiction, Comics & graphic novels, east asian style, manga, fantasy","Ichigo realizes a Hollow is involved when Chad checks into a hospital with a mysterious scar on his back and disappears along with a talking parakeet imbued with the soul of a boy named Yuichi. Ichigo soon discovers that not all souls are bound for the Soul Society, especially those tainted with innocent blood.",4.2,8,2004,http://covers.openlibrary.org/b/id/8786809-L.jpg
Speaker for the Dead,Orson Scott Card,"Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Comics & graphic novels, science fiction, Wiggin, ender (fictitious character), fiction, Lusitania (imaginary place), fiction, Fiction, science fiction, hard science fiction, Fiction, fantasy, epic, Fiction, Extraterrestrial beings, American Science fiction, Science fiction, Roman, Science-fiction, nyt:mass-market-paperback=2013-11-24, New York Times bestseller, award:nebula_award=novel, Hugo Award Winner, award:hugo_award=1987, award:hugo_award=novel, Space warfare, Interplanetary voyages, Guerre spatiale, Romans, nouvelles, Voyages interplanétaires, Ke xue huan xiang xiao shuo, Zhang pian xiao shuo","Ender Wiggin, the young military genius, discovers that a second alien war is inevitable and that he must dismiss his fears to make peace with humanity's strange new brothers.",3.9,82,1986,http://covers.openlibrary.org/b/id/9315123-L.jpg
The Crystal Cave,"Mary Stewart, Mary Stwart","Fiction, historical, general, Fiction, fantasy, general, Arthur, king, fiction, Merlin (legendary character), fiction, Great britain, fiction, Kings and rulers, Adaptations, Merlin (Legendary character), Fiction, Arthurian romances, Fantasy, Wizards, Britons, Large type books, Fiction, fantasy, historical, Legends, Arthur, King, Fiction, historical, Belletristische Darstellung, England, fiction","WHO WAS MERLIN?

Was the famed magician of Camelot and King Arthur's court really a sinister, all-powerful being from another world? Was he truly a Prince of Darkness? Or was he a man with the passions of other mortals? A man with unique intelligence and unusual gifts? Why was he so feared? How did he come by his occult powers? Why was the crystal cave so important to him?

Fifth century Britain is a country of chaos and division after the Roman withdrawal. Born the bastard son of a Welsh princess who will not reveal to her son his father's true identity, Myridden Emrys -- or as he would later be known, Merlin -- leads a perilous childhood, haunted by portents and visions. But destiny has great plans for this no-man's-son, taking him from prophesying before the High King Vortigern to the crowning of Uther Pendragon ... and the conception of Arthur -- king for once and always.",3.3,44,1970,http://covers.openlibrary.org/b/id/592134-L.jpg
Xenocide,Orson Scott Card,"Space warfare, Fiction, Fiction, science fiction, hard science fiction, Fiction, fantasy, epic, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Wiggin, ender (fictitious character), fiction, Lusitania (imaginary place), fiction, Fiction, science fiction, general, Life on other planets, FICTION / Science Fiction / Action & Adventure, FICTION / Science Fiction / Military, FICTION / Science Fiction / Space Opera, Viruses, Science fiction","On Lusitania, Ender finds a world where humans and pequeninos and the Hive Queen could all live together. However, Lusitania also harbors the descolada, a virus that kills all humans it infects, but which the pequeninos require in order to become adults. The Starways Congress so fears the effects of the descolada, should it escape from Lusitania, that they have ordered the destruction of the entire planet, and all who live there. With the Fleet on its way, a second xenocide seems inevitable.",4.3,46,1991,http://covers.openlibrary.org/b/id/10564838-L.jpg
Soul Music,Terry Pratchett,"Discworld (Imaginary place), Fantasy, Ficción, Fiction, Mundodisco (Lugar imaginario), Novela fantástica, humor, satire, Discworld (Imaginary place) -- Fiction., Discworld (imaginary place), fiction, Fiction, fantasy, general, Fiction, humorous, Modern & contemporary fiction (post c 1945), FICTION / General, Death (fictitious character : pratchett), fiction, Fiction, humorous, general","Death goes walk-about and tries everything, including joining the French Foreign Legion, to forget a tragic carriage accident at dead man's curve. His independent-minded teen granddaughter has to surreptitiously take over the reaping biz. Three guys invent music with rocks in it or did the magick in this music invent them? Is time changing or - déjà vu all over again- is it rushing to a new tragedy on Dead Man's Curve?",3.7,5,1994,http://covers.openlibrary.org/b/id/14645780-L.jpg
Before Adam,Jack London,"Fiction, Prehistoric peoples, Dreams, Evolution, Bibliography, Animals, Classic Literature, Romans, Animaux, Évolution, American fiction (fictional works by one author), Fiction, fantasy, general, Fiction, science fiction, general","A young man in modern America is terrorized by visions of an earlier, primitive life. Across the enormous chasm of thousands of centuries, his consciousness has become entwined with that of Big-Tooth, an ancestor living at the dawn of humanity. Big-Tooth makes his home in Pleistocene Africa, a ferocious, fascinating younger world torn by incessant conflict between early humans and protohumans. Before Adam is a remarkable and provocative tale that thrust evolution further into the public spotlight in the early twentieth century and has since become a milestone of speculative fiction. The brilliance of the book lies not only in its telling but also in its imaginative projection of a mindset for early humans. Capitalizing on his recognized ability to understand animals, Jack London paints an arresting and dark portrait of how our distant ancestors thought about themselves and their world.",3.4,50,1906,http://covers.openlibrary.org/b/id/8243967-L.jpg
The Chrysalids,John Wyndham,"Fiction, Science Fiction, Post-Apocolyptic Life, Mutation (Biology), Telepathy, FICTION / Dystopian, FICTION / Science Fiction / Apocalyptic & Post-Apocalyptic, Fiction, science fiction, general, Fiction, general, Science fiction, Science fiction, fantasy, horror","This book is about a post apocalyptic world returned back to the times of the horse and carriage seen through the eyes of a young boy. Deviations are punished or destroyed and what few books remained govern the way people think about change and the differences from the norm. The twists and turns in this rather short book as  bought me back to it many times over the years, which is very unusual for me. It would make a great Spielberg movie with the authors descriptions of the scarred landscape and the characters being fantastic. you could really picture the trials and tribulations of these people. When the young boy David finds his closest friend has a sixth toe on each foot and is asked to keep it a secret from his god fearing tyrant of a father, he comes to question his own secrets and what would happen to him if anyone found out. I wont tell you the twist, but definitely recommend this read to anyone, young or old.",4.3,14,1955,http://covers.openlibrary.org/b/id/6669244-L.jpg
The Hill of Dreams,Arthur Machen,"American fiction (fictional works by one author), Fiction, horror, Fiction, fantasy, general, Fiction, biographical, Wales, fiction, Authors, fiction, Dreams, Fiction, Imagination, Fiction, fantasy, paranormal, London (england), fiction","Lucian Taylor is damned, either through contact with an erotically pagan faerie world or through something degenerate in his own nature. He thinks of the damning thing inside him as a faun. He becomes a writer, and when he moves to London he becomes trapped by the increasing reality of the dark imaginings of this creature within him, which become increasingly real. The portrait of a doomed artist: a man not unlike Machen himself.",3.6,24,1907,http://covers.openlibrary.org/b/id/1846628-L.jpg
Jingo,Terry Pratchett,"Fiction, Samuel Vimes (Fictitious character), Discworld (Imaginary place), Fantasy, Discworld (imaginary place), fiction, Fiction, fantasy, general, Carrot (fictitious character : pratchett), fiction, Discworld (Lugar imaginario), Ficción, Vimes, Samuel (Personaje literario), Fiction, humorous, Fiction, humorous, general, Science fiction, fantasy, horror, Powieść fantastyczna angielska, Tłumaczenia polskie","It isn't much of an island that rises up one moonless night from the depths of the Circle Sea -- just a few square miles of silt and some old ruins. Unfortunately, the historically disputed lump of land called Leshp is once again floating directly between Ankh-Morpork and the city of Al-Khali on the coast of Klatch -- which is spark enough to ignite that glorious internationalpastime called ""war."" Pressed into patriotic service, Commander Sam Vimes thinks he should be leading his loyal watchmen, female watchdwarf, and lady werewolf into battle against local malefactors rather than against uncomfortably well-armed strangers in the Klatchian desert. But war is, after all, simply the greatest of all crimes -- and it's Sir Samuel's sworn duty to seek out criminal masterminds wherever they may be hiding ... and lock them away before they can do any real damage. Even the ones on his own side.",3.6,13,1996,http://covers.openlibrary.org/b/id/14649227-L.jpg
Dirk Gently’s Holistic Detective Agency,Douglas Adams,"Fantasy, Krimi, abiogenesis, laudanum, Kubla Khan, The Rime of the Ancient Mariner, detective fiction, Mystery & Detective fiction, time travel, Modern & Contemporary Fiction, humour, Private investigators, Fiction, Science fiction, fantasy fiction, Detective and mystery fiction, Humorous fiction, Mystery fiction, Dirk Gently (Fictitious character), English Fantasy fiction, Fiction, mystery & detective, general, Fiction, crime, Gently, dirk (fictitious character), fiction, Private investigators, fiction, University of Cambridge, English literature, Fiction, fantasy, general","Zitat Klappentext: Eine mordsmäßige Detektiv-Gespenster-Horror-Kriminal-Zeitreisen-Romanzen-Musikkomödien-Geschichte von Douglas Adams, dem Autor des Bestsellers »Per Anhalter durch die Galaxis«.",3.5,61,1987,http://covers.openlibrary.org/b/id/11465456-L.jpg
The Fires of Heaven,Robert Jordan,"Fantasy, Fiction, fantasy, epic, Rand al'thor (fictitious character), fiction, Fantasy fiction, Rand al'Thor (Fictitious character), Fiction, Fiction, fantasy, general, American literature, Fiction, science fiction, general","The bonds and wards that hold the Great Lord of the Dark are slowly failing, but still his fragile prison holds. The Forsaken, immortal servants of the shadow, weave their snares and tighten their grip upon the realms of men, sure in the knowledge that their master will soon break free...
Rand al' Thor, the Dragon Reborn, knows that he must strike at the Enemy, but his forces are divided by treachery and by ambition. Even the Aes Sedai, ancient guardians of the Light, are riven by civil war. Betrayed by his allies, pursued by his enemies and beset by the madness that comes to the male wielders of the One Power, Rand rides out to meet the foe.",2.8,18,1993,http://covers.openlibrary.org/b/id/603821-L.jpg
三体,刘慈欣,"Hugo Award Winner, award:hugo_award=2015, award:hugo_award=novel, Human-alien encounters, Imaginary wars and battles, Fiction, Chinese fiction, FICTION / Science Fiction / General, Science fiction, General, Fiction, science fiction, general, nyt:trade-fiction-paperback=2020-09-27, New York Times bestseller, Encuentros humanos con extraterrestres, Guerras imaginarias, Ciencia-ficción, Ficcion, Fiction, science fiction, alien contact, china, fantasy, Translations into English, History, Cultural Revolution (China : 1966-1976) fast (OCoLC)fst01352662, Chinese Science fiction","Cixin Liu's trilogy-opening novel about first contact with aliens and the clandestine struggle with them over Earth's future, and its scientific progress in particular.

Set against the backdrop of China's Cultural Revolution, a secret military prject sends signals into space in an attempt to make contact with aliens—and they succeed. An alien civilization on the brink of descruction captures the signal and plans to invade Earth. Now, on Earth, different camps start forming, planning to either welcome the superior beings and help them take over a world seen as corrupt, or fight against the invasion. The result is a science fiction masterpiece of enormous scope and vision.",3.5,21,2008,http://covers.openlibrary.org/b/id/9157544-L.jpg
Crossroads of Twilight,Robert Jordan,"Fantasy fiction, Rand al'Thor (Fictitious character), Fiction, Fiction, science fiction, general, Fiction, fantasy, epic, Rand al'thor (fictitious character), fiction, Russian language edition, Fiction, fantasy, general, Good and evil, Imaginary wars and battles, Adventure stories, Heroes, Fantasy, American literature","Mat Cauthon flees the Shadow and the Seanchan Empire with the kidnapped Daughter of the Nine Moons, while Perrin Aybara seeks to free his captive wife, and Egwere al'Vere seeks to reunite the Aes Sedai.",4.0,8,1995,http://covers.openlibrary.org/b/id/604208-L.jpg
Perelandra,C.S. Lewis,"Linguists, Elwin Ransom (Fictitious character), Open Library Staff Picks, Life on other planets, Philologists, Science fiction, College teachers, English Science fiction, Fiction, Good and evil, Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, English literature, British and irish fiction (fictional works by one author), Ransom, elwin (fictitious character), fiction, Fiction, science fiction, general, British Science fiction, Philologists--fiction, Life on other planets--fiction, Science fiction, british, Pz3.l58534 pe3, Fantasy fiction, Other fantasy fiction categories, Christian fiction & literature, Other science fiction categories","Dr. Ransom is ordered to Perelandra by the supreme being, and there he finds a Garden of Eden.",3.6,18,1943,http://covers.openlibrary.org/b/id/9186044-L.jpg
Time Traveler's Wife,"Audrey Niffenegger, William Hope, Laurel Lefkow","mutants, love, death, amputation, sex, time, science fiction, romance, foreshadowing, first-person narrative, hypothermia, frostbite, miscarriage, vasectomy, stress, Spanish language materials, Spanish language, Fiction, domestic fiction, Librarians, Married people, Viaje a través del tiempo, Women art students, Fantasy fiction, Bibliotecarios, Ficción, Personas casadas, Time travel, Viajes a través del tiempo, Fiction, fantasy, general, Married people, fiction, Fiction, romance, time travel, Librarians, fiction, Women artists, fiction, FICTION / Literary, FICTION / Historical, Large type books, Chang pian xiao shuo, nyt:trade-fiction-paperback=2009-07-05, New York Times bestseller, Bibliothécaires, Romans, nouvelles, Voyages dans le temps, Couples mariés, Étudiantes en art, Women artists, Librarians--fiction, Time travel--fiction, Married people--fiction, Women art students--fiction, Fictional works, Ps3564.i362 t56 2003b, 813/.54","Audrey Niffenegger's innovative debut, The Time Traveler's Wife, is the story of Clare, a beautiful art student, and Henry, an adventuresome librarian, who have known each other since Clare was six and Henry was thirty-six, and were married when Clare was twenty-three and Henry thirty-one. Impossible but true, because Henry is one of the first people diagnosed with Chrono-Displacement Disorder: periodically his genetic clock resets and he finds himself misplaced in time, pulled to moments of emotional gravity in his life, past and future. His disappearances are spontaneous, his experiences unpredictable, alternately harrowing and amusing.
([source][1])


  [1]: https://www.audreyniffenegger.com/published-books/2015/4/22/the-time-travelers-wife-2005",3.9,18,2003,http://covers.openlibrary.org/b/id/9273734-L.jpg
Harry Potter and the Cursed Child,"Jack Thorne, John Tiffany, J. K. Rowling, Jack Thorne, Jean-François Ménard","Drama, Fantasy, Magic, Juvenile Drama, Good and evil, Literature, Fantasiewelt, Diskontinuität, Zeitreise, Auferstehung, British and irish drama (dramatic works by one author), Wizards, Drama, collections, Art, Potter, Harry (Fictitious character) -- Juvenile drama, Good and evil -- Juvenile drama, Magic -- Juvenile drama, Potter, Harry (Fictitious character) -- Drama, Potter, Harry (Fictitious character), Wizards -- Drama, Fantasy drama","The Eighth Story. Nineteen Years Later. Based on an original new story by J.K. Rowling, John Tiffany, and Jack Thorne, a new play by Jack Thorne, ""Harry Potter and the Cursed Child"" is the eighth story in the Harry Potter series and the first official Harry Potter story to be presented on stage. The play will receive its world premiere in London's West End on July 30, 2016. It was always difficult being Harry Potter and it isn't much easier now that he is an overworked employee of the Ministry of Magic, a husband and father of three school-age children. While Harry grapples with a past that refuses to stay where it belongs, his youngest son Albus must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: sometimes, darkness comes from unexpected places.",4.1,9,2001,http://covers.openlibrary.org/b/id/8763851-L.jpg
Naruto,Masashi Kishimoto,"Graphic novels, Pariahs, Translations into English, Comic books, strips, Comic books, strips, etc, Imaginary wars and battles, Ninja, Fiction, Competition (Psychology), Manga, Cartoons and comics, Comics & graphic novels, manga, fantasy, Japan, fiction","**Naruto is a young shinobi with an incorrigible knack for mischief. He's got a wild sense of humor, but Naruto is completely serious about his mission to be the world's greatest ninja!
_________________________________________________________________________________________________________________
Naruto (ナルト?) is a Japanese manga series written and illustrated by Masashi Kishimoto. It tells the story of Naruto Uzumaki, an adolescent ninja who constantly searches for re**cognition and dreams to become the Hokage, the ninja in his village who is acknowledged as the leader and the strongest of all. The series is based on a one-shot manga by Kishimoto that was published in the August 1997 issue of Akamaru Jump.",2.7,26,2003,http://covers.openlibrary.org/b/id/7335243-L.jpg
The Shadow Rising,Robert Jordan,"Fiction, Good and evil, Rand Al'Thor (Fictitious character), Fiction, fantasy, epic, Rand al'thor (fictitious character), fiction, Fantasy fiction, American Fantasy fiction, Fantastic fiction, Fiction, fantasy, general, American literature, Literature and fiction, fantasy","The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.
The seals of Shayol Ghul are weak now, and the Dark One reaches out. The Shadow is rising to cover humankind.
In Tar Valon, Min sees portents of hideous doom. Will the White Tower itself be broken?
In the Two Rivers, the Whitecloaks ride in pursuit of a man with golden eyes, and in pursuit of the Dragon Reborn.
In Cantorin, among the Sea Folk, High Lady Suroth plans the return of the Seanchan armies to the mainland.
In the Stone of Tear, the Lord Dragon considers his next move. It will be something no one expects, not the Black Ajah, not Tairen nobles, not Aes Sedai, not Egwene or Elayne or Nynaeve.
Against the Shadow rising stands the Dragon Reborn...",3.9,31,1992,http://covers.openlibrary.org/b/id/603240-L.jpg
Barchester Towers,Anthony Trollope,"Fiction, Clergy, Clergy in fiction, Barchester (England: Imaginary place), Barsetshire (England: Imaginary place), Barsetshire (England : Imaginary place), Barchester (England : Imaginary place), Social life and customs, England in fiction, Classic Literature, Literature, Almshouses, British and irish fiction (fictional works by one author), Readers, Reading comprehension, Fiction, general, England, fiction, Barchester (england : imaginary place), fiction, Problems, exercises, Readers (Adult), English fiction, Classics, Manners and customs, Church of England, Clergy, fiction, Fiction, family life, general, Fiction, sagas, Englis language, English language, Study and teaching, Foreign speakers, Readers (Primary), Readers for new literates, Strategy, United states, military policy, Fiction, fantasy, general, Barchester (England : Imaginary place) -- Fiction, Clergy -- Fiction, Domestic fiction, FICTION -- Classics, Social conditions","*The Chronicles of Barsetshire, Book 2: Barchester Towers* 

Written as a sequel to ""The Warden"", this is the second book of the Barsetshire novels. Described as humorous, this wonderful novel that interweaves power, love, greed, and deceit in Barchester.  

Barchester Towers (1857) is the second of the six Chronicles of Barsetshire, the work in which, after a ten-year apprenticeship, Trollope finally found his distinctive voice. In this his most popular novel, the chronicler continues the story of Mr. Harding and his daughter Eleanor, begun in The Warden, adding to his cast of characters that oily symbol of ""progress"" Mr. Slope, the hen-pecked Dr. Proudie, and the amiable and breezy Stanhope family. Love, mammon, clerical in-fighting, and promotion again figure prominently and comically, all centered on the magnificently imagined cathedral city of Barchester. The central questions of this moral comedy -- Who will be warden? Who will be dean? Who will marry Eleanor? -- are skilfully handled with the subtlety of ironic observation that has won Trollope such a wide and appreciative readership over the last 150 years. - Back cover.",3.5,11,1857,http://covers.openlibrary.org/b/id/1468666-L.jpg
The Haunted Man and the Ghost's Bargain,"Charles Dickens, Sir John Tenniel, Frank Stone","Social life and customs, English Christmas stories, Fiction, Fiction, fantasy, general, English wit and humor, Ghost stories, Christmas stories, Fiction, horror, Fiction, general, Fiction, historical, general, historische fictie, Kerstverhaal","In this story, Dickens narrates the hair-raising experiences of a professor. As the protagonist dwells on his past sorrows and mistakes, a phantom visits him. It offers him a bizarre escape from painful recollections of yesteryear by offering to eradicate his memory. On seeing the professor turn into a man devoid of emotions, the reader realizes how empty one becomes without a past.",4.1,32,1848,http://covers.openlibrary.org/b/id/9285605-L.jpg
Wet Magic,Edith Nesbit,"Fantasy fiction, Fantasy, Children's fiction, Magic, fiction, Mermaids, fiction","On a holiday at the seashore, Bernard, Mavis, Kathleen, and Francis save a mermaid from captivity and, after an incredible magic-filled journey beneath the waves, they must race against time to avert a war and save their underwater friends.",3.8,43,1937,http://covers.openlibrary.org/b/id/854565-L.jpg
The Long Dark Tea-Time of the Soul,"Douglas Adams, Douglas Adams","Norse mythology, horoscopes, Fiction, fantasy, contemporary, Fiction, humorous, Fiction, science fiction, general, Gently, dirk (fictitious character), fiction, Private investigators, fiction, Dirk Gently (Fictitious character), Private investigators, Fiction, Norse Gods, Physicians, New York Times reviewed, Science fiction, Fiction, humorous, general, English literature","The Long Dark Tea-Time of the Soul is a 1988 humorous fantasy detective novel by Douglas Adams. It is the second book by Adams featuring private detective Dirk Gently, the first being [Dirk Gently's Holistic Detective Agency](https://openlibrary.org/works/OL2163714W). It was followed by the [Salmon of Doubt](https://openlibrary.org/works/OL2163715W), an incomplete Dirk Gently novel included in a posthumous collection of the same name. The Long Dark Tea-Time of the Soul has been adapted for radio, and several plot lines appear in the 2010 BBC TV series.",2.7,17,1988,http://covers.openlibrary.org/b/id/11465134-L.jpg
The Well of Ascension,Brandon Sanderson,"Courts and courtiers, Sieges, Fiction, Fiction, fantasy, general, Fiction, fantasy, epic, Magic, Imaginary places, Fantasy fiction, Courts and courtiers -- Fiction, Sieges -- Fiction, Imaginary places -- Fiction, Good and evil -- Fiction, Magic -- Fiction, Cours et courtisans -- Romans, nouvelles, etc, Sièges (Histoire) -- Romans, nouvelles, etc, Lieux imaginaires -- Romans, nouvelles, etc, Good and evil, Fantasía","The impossible has been accomplished. The Lord Ruler -- the man who claimed to be god incarnate and brutally ruled the world for a thousand years -- has been vanquished. But Kelsier, the hero who masterminded that triumph, is dead too, and now the awesome task of building a new world has been left to his young protégé, Vin, the former street urchin who is now the most powerful Mistborn in the land, and to the idealistic young nobleman she loves.

As Kelsier's protégé and slayer of the Lord Ruler she is now venerated by a budding new religion, a distinction that makes her intensely uncomfortable. Even more worrying, the mists have begun behaving strangely since the Lord Ruler died, and seem to harbor a strange vaporous entity that haunts her.

Stopping assassins may keep Vin's Mistborn skills sharp, but it's the least of her problems. Luthadel, the largest city of the former empire, doesn't run itself, and Vin and the other members of Kelsier's crew, who lead the revolution, must learn a whole new set of practical and political skills to help. It certainly won't get easier with three armies – one of them composed of ferocious giants – now vying to conquer the city, and no sign of the Lord Ruler's hidden cache of atium, the rarest and most powerful allomantic metal.

As the siege of Luthadel tightens, an ancient legend seems to offer a glimmer of hope. But even if it really exists, no one knows where to find the Well of Ascension or what manner of power it bestows.",4.1,8,2007,http://covers.openlibrary.org/b/id/14658341-L.jpg
