Title,Author,Genres,Plot,Vote Average,Vote Count,Release Date,Large Cover URL
The Twits,Roald Dahl,,The misadventures of two terrible old people who enjoy playing nasty tricks and are finally outwitted by a family of monkeys.,4.3,8,1967,http://covers.openlibrary.org/b/id/14838233-L.jpg
The Road to Oz,L. Frank Baum,,Dorothy and her friends follow the enchanted road to Oz and arrive in time for Ozma's birthday party.,3.5,28,1909,http://covers.openlibrary.org/b/id/8243922-L.jpg
A Little Princess,"Frances Hodgson Burnett, Johanna Ward, Oxford University Press Staff, Jennifer Bassett, Justine Eyre, Nancy Bond",,"This is a story about a different kind of princess than one might imagine; a princess that is an orphan - lonely, cold, hungry and abused. Sara Crewe begins life as the beloved, pampered daughter of a rich man. When he dies a pauper, she is thrown on the non-existent mercy of her small-minded, mercenary boarding school mistress. Stripped of all her belongings but for one set of clothes and a doll, Sara becomes a servant of the household. Hated by the schoolmistress for her independent spirit, Sara becomes a pariah in the household, with only a few secretly loyal friends. But through her inner integrity and strength of will, Sara Crewe maintains the deportment, inner nobility and generous spirit of a ""real"" princess.",3.4,69,1905,http://covers.openlibrary.org/b/id/2328315-L.jpg
The Last Battle,C.S. Lewis,,"For the first time, an edition of Lewis's classic fantasy fiction packaged specifically for adults. Complementing the look of the author's non-fiction books, and anticipating the forthcoming Narnia feature films, this edition contains an exclusive ""P.S."" section about the history of the book, plus a round-up of the first six titles. The last days of Narnia, and all hope seems lost as lies and treachery interweave to threaten the destruction of everything. As the battle lines are drawn, old friends are summoned back to Narnia, though none can predict the outcome in this magnificent ending to the famous series. On 9 December 2005, Andrew (Shrek) Adamson's live-action film adaptation of The Lion, the Witch and the Wardrobe will be released by Disney, and it is already being hailed as the biggest film franchise of all time, guaranteed to appeal to adults and children across the globe. The second film is already in development. Sporting breathtaking new photographic covers, these new adult editions of the seven Chronicles of Narnia now give everyone an opportunity to experience the adventures in their original form. Re-live your childhood fantasies or discover for the first time what everyone will be talking about by Christmas and savour some of the best-loved stories ever written.",3.1,57,1956,http://covers.openlibrary.org/b/id/6529226-L.jpg
The Wonderful Wizard of Oz,L. Frank Baum,,"Over a century after its initial publication, The Wonderful Wizard of Oz is still captivating the hearts of countless readers. Come adventure with Dorothy and her three friends: the Scarecrow, the Tin Woodman, and the Cowardly Lion, as they follow the Yellow Brick Road to the Emerald City for an audience with the Great Oz, the mightiest Wizard in the land, and the only one that can return Dorothy to her home in Kansas.",3.4,7,1899,http://covers.openlibrary.org/b/id/552443-L.jpg
The Tale of Peter Rabbit,"Beatrix Potter, Blackwell North America., Jean Little, David Hately, J. K. Jomkhwan, Lisa McCue",,One of the best known and loved children's stories is the story of naughty Peter Rabbit and his misadventures as he is chased around a garden.,2.9,157,1920,http://covers.openlibrary.org/b/id/2557658-L.jpg
The Story of Doctor Dolittle,Hugh Lofting,,"There are some of us now reaching middle age who discover themselves to be lamenting the past in one respect if in none other, that there are no books written now for children comparable with those of thirty years ago.  I say written FOR children because the new psychological business of writing ABOUT them as though they were small pills or hatched in some especially scientific method is extremely popular today.",4.3,40,1920,http://covers.openlibrary.org/b/id/5262289-L.jpg
On The Beach,"Nevil Shute, Gideon Haigh, G. C. Thornley, SparkNotes Staff, SparkNotes",,"A novel about the survivors of an atomic war, who face an inevitable end as radiation poisoning moves toward Australia from the North.",3.9,31,1957,http://covers.openlibrary.org/b/id/997896-L.jpg
The Book of Dragons,Edith Nesbit,,"Eight madcap tales of unpredictable dragons — including one made of ice, another that takes refuge in the General Post Office, and a fire-breathing monster that flies out of an enchanted book and eats an entire soccer team! Marvelous adventure and excitement for make-believers of all ages.",3.7,8,1973,http://covers.openlibrary.org/b/id/4342323-L.jpg
Anne of Green Gables,Lucy Maud Montgomery,,"Anne, an eleven-year-old orphan, is sent by mistake to live with a lonely, middle-aged brother and sister on a Prince Edward Island farm and proceeds to make an indelible impression on everyone around her.",3.3,38,1908,http://covers.openlibrary.org/b/id/14641084-L.jpg
Little House in the Big Woods,"Laura Ingalls Wilder, Garth Williams, Laura Ingalls Wilder, Laura Ingalls Laura Ingalls Wilder",,"The first in a series of truly charming tales of life on the early American frontier, Little House in the Big Woods introduces us to Laura Ingalls, her Ma and Pa, big sister Mary and Baby Carrie. She lives in an isolated cabin in the Big Woods of Wisconsin and spends her days helping Ma with household chores, learning how to care for a house, farm and family. The descriptions of typical activities on a farm in that era will captivate the imaginations of young and old alike. This series also contains the titles Little House on the Prairie, On The Banks of Plum Creek, By the Shores of Silver Lake, The Long Winter, Farmer Boy, Little Town on the Prairie, These Happy Golden Years, and The First Four Years. They inspired the popular, 1970s television series Little House on the Prairie.",3.9,61,1932,http://covers.openlibrary.org/b/id/28677-L.jpg
"The Lion, the Witch and the Wardrobe",C.S. Lewis,,"Four adventurous siblings—Peter, Susan, Edmund, and Lucy Pevensie—step through a wardrobe door and into the land of Narnia, a land frozen in eternal winter and enslaved by the power of the White Witch. But when almost all hope is lost, the return of the Great Lion, Aslan, signals a great change . . . and a great sacrifice.

Journey into the land beyond the wardrobe! The Lion, the Witch and the Wardrobe is the second book in C. S. Lewis's classic fantasy series, which has been captivating readers of all ages for over sixty years. This is a stand-alone novel, but if you would like journey back to Narnia, read The Horse and His Boy, the third book in The Chronicles of Narnia.
([source][1])


  [1]: http://www.cslewis.com/us/books/hardcover/the-lion-the-witch-and-the-wardrobe/9780060234812/


----------
Also contained in:

 - [Chronicles of Narnia](https://openlibrary.org/works/OL70988W/The_Chronicles_of_Narnia)
 - [Tales of Narnia](https://openlibrary.org/works/OL71080W)",3.8,3,1950,http://covers.openlibrary.org/b/id/8441376-L.jpg
Goodnight Moon,Margaret Wise Brown,,"Goodnight to each of the objects in the great green room: the chairs, a comb, and the air.",4.8,136,1947,http://covers.openlibrary.org/b/id/35556-L.jpg
The Silver Chair,C.S. Lewis,,Jill and Eustace must rescue the Prince from the evil Witch.,3.4,13,1953,http://covers.openlibrary.org/b/id/6950992-L.jpg
The most dangerous game,Richard Connell,,"The Most Dangerous Game is the popular short story originally published in 1924 which was written by Richard Connell. This is the story of a big game hunter who is trapped on an island with a fellow hunter, who is uninterested in hunting stereotypical prey, and instead decides that the only prey worthy of his skills is other humans. This title is often required reading in middle schools, and has been since adapted into movies and extended versions. This title is the original version by the author, and is considered one of the greatest short stories ever written.",3.9,47,1990,http://covers.openlibrary.org/b/id/8561531-L.jpg
The Secret Garden,"Frances Hodgson Burnett, Francis Hodgson Burnett, Miller, Steve, Luisa Uribe",,A ten-year-old orphan comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden.,3.3,20,1911,http://covers.openlibrary.org/b/id/12622062-L.jpg
Little men,Louisa May Alcott,,"The characters from Little Women grow up and begin new adventures at Plumfield, a progressive school founded by Jo and her husband, Professor Bhaer.

Follows the adventures of Jo March and her husband Professor Bhaer as they try to make their school for boys a happy, comfortable, and stimulating place.***--LibraryThing***

With two sons of her own, and twelve rescued orphan boys filling the informal school at Plumfield, Jo March -- now Jo Bhaer -- couldn't be happier. But despite the warm and affectionate help of the whole March family, boys have a habit of getting into scrapes, and there are plenty of troubles and adventures in store.***--goodreads***",3.8,14,1885,http://covers.openlibrary.org/b/id/8043576-L.jpg
"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte",Michael Ende,,"*The Neverending Story* is Michael Ende's best-known book, but *Momo,* published six years earlier, is the all-ages fantasy novel that first won him wide acclaim. After the sweet-talking gray men come to town, life becomes terminally efficient. Can Momo, a young orphan girl blessed with the gift of listening, vanquish the ashen-faced time thieves before joy vanishes forever?",4.2,10,1973,http://covers.openlibrary.org/b/id/8574580-L.jpg
Black Beauty,Anna Sewell,,"(Ages 9-12, Gr. 4-7) An **animal rights classic** that's also an engaging read, **BLACK BEAUTY follows the life of an ebony horse from birth to old age**, and from pasture to the cobblestone streets of **19th century England** This morality tale and **animal ""autobiography""** gives a sweet and kind horse **a voice that's relatable yet unsentimental.**. Black Beauty's life begins on the grounds of an aristocratic English family. The **young horse learns early lessons from his mother like how not to bite or kick even in play** before circumstances force his sale to a new master; it's the first of several such sales/moves for the horse. As **his life intersects with different human owners, caretakers, and neighbors**, Black Beauty **experiences different kinds of care and abuse**, and he observes the **differing attitudes of humans toward horses.** Peppered throughout the novel are the **moral lessons** that the author, **Anna Sewell **who is the author**, wants to impart to her readers:** that **truly good humans are kind to all of God's creatures,** that **parents should teach their children to be kind to animals,** and perhaps most important, that **even though they can't speak, horses can feel so that makes this fiction/fake.** Anna Sewell was a devout Quaker, and that is apparent in her pacifist point of view, and in the book's **emphasis on the value of hard work without complaint.**


**strong text** author: a person who wrote the book",3.7,34,1877,http://covers.openlibrary.org/b/id/5007492-L.jpg
White Fang,Jack London,,"The story of a wolf/dog cross, who is raised by Indians, and becomes a deadly fighter.",3.7,18,1905,http://covers.openlibrary.org/b/id/8236920-L.jpg
Le petit prince,Antoine de Saint-Exupéry,,"*Le Petit Prince* est une œuvre de langue française, la plus connue d'Antoine de Saint-Exupéry. Publié en 1943 à New York simultanément à sa traduction anglaise, c'est une œuvre poétique et philosophique sous l'apparence d'un conte pour enfants.

Traduit en quatre cent cinquante-sept langues et dialectes, *Le Petit Prince* est le deuxième ouvrage le plus traduit au monde après la Bible.

Le langage, simple et dépouillé, parce qu'il est destiné à être compris par des enfants, est en réalité pour le narrateur le véhicule privilégié d'une conception symbolique de la vie. Chaque chapitre relate une rencontre du petit prince qui laisse celui-ci perplexe, par rapport aux comportements absurdes des « grandes personnes ». Ces différentes rencontres peuvent être lues comme une allégorie.

Les aquarelles font partie du texte et participent à cette pureté du langage : dépouillement et profondeur sont les qualités maîtresses de l'œuvre.

On peut y lire une invitation de l'auteur à retrouver l'enfant en soi, car « toutes les grandes personnes ont d'abord été des enfants. (Mais peu d'entre elles s'en souviennent.) ». L'ouvrage est dédié à Léon Werth, mais « quand il était petit garçon ».

(Wikipedia)",3.4,19,1943,http://covers.openlibrary.org/b/id/10708272-L.jpg
The Horse and His Boy,C.S. Lewis,,A boy and a talking horse share an adventurous and dangerous journey to Narnia to warn of invading barbarians.,3.9,19,1954,http://covers.openlibrary.org/b/id/9184792-L.jpg
The BFG,Roald Dahl,,"This book is a great book for all ages. It is a fantasy/adventure book.The BFG stands for 'Big Friendly Giant'. He isn't like other giants, instead of going out to different countries to eat children he catches dreams. When he find's a little orphan girl watching him, he kidnaps her because he doesn't want anyone to find out that he was there, but when they arrive at giant's land they become friends and set off into the world to save all the children from the hungry giants.",4.3,26,1980,http://covers.openlibrary.org/b/id/9176033-L.jpg
Anne of the Island,Lucy Maud Montgomery,,"New adventures lie ahead for Anne Shirley as she packs her bags, waves goodbye to childhood, and heads for Redmond College. With her old friend Prissy Grant waiting in the bustling city of Kingsport, and frivolous new pal Philippa Gordon at her side, Anne spreads her wings and discovers life on her own terms, filled with surprises: the joys of sharing a house with her irrepressible friends, her very first sale of a story - and a marriage proposal from the worst fellow imaginable!",3.3,38,1826,http://covers.openlibrary.org/b/id/14639028-L.jpg
Kinder- und Hausmärchen,Brothers Grimm,,An illustrated edition of more than 200 traditional tales collected from German folklore by the Brothers Grimm.,3.1,12,1812,http://covers.openlibrary.org/b/id/8236293-L.jpg
Where the Wild Things Are,Maurice Sendak,,"This is an inspired children's book about a boy's passage through tempestuous aspects of life.

Max, a naughty little boy, sent to bed without his supper, sails to the land of the wild things, where he becomes their king.",3.3,20,1600,http://covers.openlibrary.org/b/id/50842-L.jpg
The Night Before Christmas,Clement Clarke Moore,,A well-known poem about an important Christmas Eve visitor.,4.0,54,1857,http://covers.openlibrary.org/b/id/8236410-L.jpg
Daddy-Long-Legs,Jean Webster,,"From poor lonely orphan to sophisticated young woman — Jerusha Abbott can hardly believe her good fortune.

All her life Jerusha has lived at the drearyJohn Grier Home for orphans. Now that she's seventeen, her time there is up and her prospects for the future are dim. But suddenly an anonymous benefactor sends her to a posh northerstern college for women. All Jerusha must do in return is write to the man she nicknames Daddy-Long-Legs and tell him of her progress.

And what progress there is! Jerusha — now Judy because she has always hated her name — reads everything from *Mother Goose* to Plato, joins the basketball team, buys her first pair of stockings, writes a novel, wins a scholarship, lives with two roomates who couldn't be more different; and, for the first time in her life, falls in love.",3.4,31,1912,http://covers.openlibrary.org/b/id/8266414-L.jpg
Kim,Rudyard Kipling,,"Kim is Rudyard Kipling's story of an orphan born in colonial India and torn between love for his native India and the demands of Imperial loyalty to his Irish-English heritage and to the British Secret Service. Long recognized as Kipling's finest work, Kim was a key factor in his winning the Nobel Prize for Literature in 1907.",4.2,34,1901,http://covers.openlibrary.org/b/id/1053011-L.jpg
Matilda,Roald Dahl,,"No podemos resistirnos a Matilda y recomendar a su autor a los niños que no lo conozcan. Matilda debe poner orden en una escuela poco acogedora porque sus profesores no están a la altura de su profesión. Pero el humor, la ironía y también la ternura harán que la escuela termine siendo un lugar amable donde ayuden a los niños a crecer y a leer. Roald Dahl decía que todos los niños tenían una brasa y que alguien debe encender el fuego y mantenerlo encendido. La escuela tiene este papel que cumplir porque de ello depende la luz del mundo.

Source: [1], back cover


  [1]: https://archive.org/details/matilda00roal",3.7,4,1988,http://covers.openlibrary.org/b/id/12889769-L.jpg
Northern Lights,Philip Pullman,,"In a landmark epic of fantasy and storytelling, Philip Pullman invites readers into a world as convincing and thoroughly realized as Narnia, Earthsea, or Redwall. Here lives an orphaned ward named Lyra Belacqua, whose carefree life among the scholars at Oxford's Jordan College is shattered by the arrival of two powerful visitors. First, her fearsome uncle, Lord Asriel, appears with evidence of mystery and danger in the far North, including photographs of a mysterious celestial phenomenon called Dust and the dim outline of a city suspended in the Aurora Borealis that he suspects is part of an alternate universe. He leaves Lyra in the care of Mrs. Coulter, an enigmatic scholar and explorer who offers to give Lyra the attention her uncle has long refused her. In this multilayered narrative, however, nothing is as it seems. Lyra sets out for the top of the world in search of her kidnapped playmate, Roger, bearing a rare truth-telling instrument, the compass of the title. All around her children are disappearing—victims of so-called ""Gobblers""—and being used as subjects in terrible experiments that separate humans from their daemons, creatures that reflect each person's inner being. And somehow, both Lord Asriel and Mrs. Coulter are involved.",3.5,44,1995,http://covers.openlibrary.org/b/id/8747028-L.jpg
Charlie and the Chocolate Factory,Roald Dahl,,"Charlie and the Chocolate Factory is a 1964 children's novel by British author Roald Dahl. The story features the adventures of young Charlie Bucket inside the chocolate factory of eccentric chocolatier Willy Wonka.

Charlie and the Chocolate Factory was first published in the United States by Alfred A. Knopf, Inc. in 1964 and in the United Kingdom by George Allen & Unwin 11 months later. 

In the 2012 survey published by SLJ, a monthly with primarily US audience, Charlie was the second of four books by Dahl among their Top 100 Chapter Books, one more than any other writer. Time magazine in the US included the novel in its list of the 100 Best Young-Adult Books of All Time.",4.4,6,1964,http://covers.openlibrary.org/b/id/12459564-L.jpg
Harry Potter and the Chamber of Secrets,J. K. Rowling,,"Throughout the summer holidays after his first year at Hogwarts School of Witchcraft and Wizardry, Harry Potter has been receiving sinister warnings from a house-elf called Dobby.

Now, back at school to start his second year, Harry hears unintelligible whispers echoing through the corridors.

Before long the attacks begin: students are found as if turned to stone.

Dobby’s predictions seem to be coming true.

[Source][1]


  [1]: https://www.jkrowling.com/book/harry-potter-chamber-secrets/",3.7,58,1998,http://covers.openlibrary.org/b/id/8392798-L.jpg
Heidi,Johanna Spyri,,"***The famous Swiss classic about Heidi, a five-year-old orphan girl*** who goes to live with her grandfather, and his goats, in an alm (Alpine pasture)...up the Alps. **One of the most loved classics ...both by children and adults, alike.**

***Little orphan Heidi goes to live high in the Alps with her gruff grandfather and brings happiness to all who know her on the mountain. When Heidi goes to Frankfurt to work in a wealthy household, she dreams of returning to the mountains and meadows, her friend Peter, and her beloved grandfather.***",3.0,36,1885,http://covers.openlibrary.org/b/id/2668686-L.jpg
Tik-Tok of Oz,L. Frank Baum,,"This book introduces Ann Soforth, Queen of Oogaboo, whom Tik-Tok, the clockwork man, assists in conquering the Nome King. Book 8 in L. Frank Baum's immortal OZ series, in which Betsy Bobbin and Hank the Mule are shipwrecked on the coast of Oz, meet up with the invading army of Queen Ann of Oogaboo, and help the Shaggy Man rescue his brother from the evil Nome King.",2.3,3,1914,http://covers.openlibrary.org/b/id/8243277-L.jpg
Anne of Avonlea,Lucy Maud Montgomery,,"The second story in the ever-popular Anne of Green Gables series.Now Anne is half past sixteen and she's ready to begin a new life teaching in her old school. She's as feisty as ever and is fiercely determined to inspire young hearts with her own ambitions. But some of her pupils are as boisterous and high-spirited as Anne, and so life in her Avonlea classroom becomes a lesson in discovery and adventure . . .",3.8,29,1909,http://covers.openlibrary.org/b/id/14638062-L.jpg
The Magician's Nephew,C.S. Lewis,,"Digory let out a scream. “What's happened to Polly?” “Congratulate me, my dear boy,” said Uncle Andrew, rubbing his hands. “My experiment has succeeded. The little girl's gone – vanished – right out of this world.” When Digory and Polly discover Uncle Andrew's secret workshop, they are tricked into touching some magic rings that take them right out of this world. But even Uncle Andrew doesn't realise the wonders that lie ahead as they discover the gateway to the magical land of Narnia, where many thrilling adventures await them.",3.9,2,1955,http://covers.openlibrary.org/b/id/1072931-L.jpg
The Legend of Sleepy Hollow,Washington Irving,,"A superstitious schoolmaster, in love with a wealthy farmer's daughter, has a terrifying encounter with a headless horseman.",3.6,2,1820,http://covers.openlibrary.org/b/id/8243083-L.jpg
Guess How Much I Love You,"Sam McBratney, Anita Jeram",,"Welcome the family classic with an elegant, refreshed cover — the quintessential picture book, just waiting to be shared.

Sometimes, when you love someone very, very much, you want to find a way of describing how much you treasure them. But, as Little Nutbrown Hare and Big Nutbrown Hare discover, love is not an easy thing to measure! For two decades, Sam McBratney’s timelessly endearing story, beautifully rendered in Anita Jeram’s exquisite watercolors, has captured the deep and tender bond between parent and child. Guess How Much I Love You is one of the world’s best-loved picture books.",4.0,11,1839,http://covers.openlibrary.org/b/id/13282906-L.jpg
Pippi Långstrump,Astrid Lindgren,,"Pippi Longstocking is the strongest and kindest and funniest and richest girl in the whole world. She lives all alone in Villa Villekulla with her horse and her monkey Mr. Nilsson. She also has a whole duffel bag full of gold money. Tommy and Annika live in the house next door, and since Pippi moved in, everything has become much more fun!",4.0,57,1945,http://covers.openlibrary.org/b/id/11452342-L.jpg
Winnie-the-Pooh,A. A. Milne,,"A.A. Milne's Pooh stories need no introduction; they have been loved by generations of children and their parents ever since they were first published in 1926.

In his autobiography, Milne wrote: 'The animals in the stories came for the most part from the nursery. My collaborator [his wife] had already given them individual voices, their owner by constant affection had given them the twist in their features which denotes character, and Shepard drew them, as one might say, from the living model.'


----------


Contains:

 - In Which We Are Introduced to [Winnie the Pooh and Some Bees][2] and the Stories Begin
 - In Which [Pooh Goes Visiting and Gets into a Tight Place][3] 
 - In Which [Pooh and Piglet Go Hunting and Nearly Catch a Woozle][4]
 - In Which [Eeyore Loses a Tail and Pooh Finds One][5]
 - In Which [Piglet Meets a Heffalump][6]
 - In Which [Eeyore has a Birthday and Gets Two Presents][7]
 - In Which [Kanga and Baby Roo Come to the Forest and Piglet has a Bath][8]
 - In Which [Christopher Robin Leads an Expotition to the North Pole][1]
 - In Which [Piglet is Entirely Surrounded by Water][9]
 - In Which [Christopher Robin Gives Pooh a Party][10] and We Say Goodbye

----------
Also contained in:

 - [Winnie-the-Pooh / The House at Pooh Corner][11]


  [1]: https://openlibrary.org/works/OL476425W/Christopher_Robin_Leads_an_Expotition_to_the_North_Pole
  [2]: https://openlibrary.org/works/OL476696W
  [3]: https://openlibrary.org/works/OL476823W/
  [4]: https://openlibrary.org/works/OL476746W/
  [5]: https://openlibrary.org/works/OL476804W/
  [6]: https://openlibrary.org/works/OL476831W/
  [7]: https://openlibrary.org/works/OL476821W/
  [8]: https://openlibrary.org/works/OL476826W/
  [9]: https://openlibrary.org/works/OL15658624W
  [10]: https://openlibrary.org/works/OL476803W
  [11]: https://openlibrary.org/works/OL15742938W/",3.2,52,1925,http://covers.openlibrary.org/b/id/8610816-L.jpg
Charlotte's Web,E. B. White,,"Charlotte's Web is a book of children's literature by American author E. B. White and illustrated by Garth Williams; it was published on October 15, 1952, by Harper & Brothers. The novel tells the story of a livestock pig named Wilbur and his friendship with a barn spider named Charlotte. When Wilbur is in danger of being slaughtered by the farmer, Charlotte writes messages praising Wilbur (such as ""Some Pig"") in her web in order to persuade the farmer to let him live.


----------
Also contained in:
[Novels](https://openlibrary.org/works/OL483326W)",4.5,15,1952,http://covers.openlibrary.org/b/id/8461797-L.jpg
The Ugly Duckling,Hans Christian Andersen,,An ugly and unloved duckling turns out to be a beautiful swan.,4.0,61,1851,http://covers.openlibrary.org/b/id/446546-L.jpg
Harry Potter and the Deathly Hallows,J. K. Rowling,,"Harry Potter is leaving Privet Drive for the last time. But as he climbs into the sidecar of Hagrid’s motorbike and they take to the skies, he knows Lord Voldemort and the Death Eaters will not be far behind.

The protective charm that has kept him safe until now is broken. But the Dark Lord is breathing fear into everything he loves. And he knows he can’t keep hiding.

To stop Voldemort, Harry knows he must find the remaining Horcruxes and destroy them.

He will have to face his enemy in one final battle.

([source][1])


----------
See also:

 - [Harry Potter and the Deathly Hallows: 2/2][2]


  [1]: https://www.jkrowling.com/book/harry-potter-deathly-hallows/
  [2]: https://openlibrary.org/works/OL17922343W/Harry_Potter_and_the_Deathly_Hallows_Chapters_20-36",3.4,36,2007,http://covers.openlibrary.org/b/id/10110415-L.jpg
The water-babies,"Charles Kingsley, Charles Kingsley",,"The story follows Tom in his land-life as a climbing boy for a chimney-sweep and in his after-life as a water-baby, where he gains redemption from selfishness as well as from drudgery. On to his fantasy Kingsley grafts a series of digressions and comic asides, through which he comments on a range of contemporary issues.",4.1,19,1863,http://covers.openlibrary.org/b/id/8785097-L.jpg
Harry Potter and the Philosopher's Stone,J. K. Rowling,,"Harry Potter #1

When mysterious letters start arriving on his doorstep, Harry Potter has never heard of Hogwarts School of Witchcraft and Wizardry.

They are swiftly confiscated by his aunt and uncle.

Then, on Harry’s eleventh birthday, a strange man bursts in with some important news: Harry Potter is a wizard and has been awarded a place to study at Hogwarts.

And so the first of the Harry Potter adventures is set to begin.
([source][1])


  [1]: https://www.jkrowling.com/book/harry-potter-philosophers-stone/",3.5,37,1997,http://covers.openlibrary.org/b/id/10521270-L.jpg
The Wind in the Willows,Kenneth Grahame,,"The adventures of four amiable animals, Rat, Toad, Mole and Badger, along a river in the English countryside.",3.6,17,1908,http://covers.openlibrary.org/b/id/8975054-L.jpg
The Daughter of Time,Josephine Tey,,"Inspector Alan Grant of Scotland Yard, recuperating from a broken leg, becomes fascinated with a contemporary portrait of Richard III that bears no resemblance to the Wicked Uncle of history. Could such a sensitive, noble face actually belong to one of the world’s most heinous villains—a venomous hunchback who may have killed his brother’s children to make his crown secure? Or could Richard have been the victim, turned into a monster by the usurpers of England’s throne? Grant determines to find out once and for all, with the help of the British Museum and an American scholar, what kind of man Richard Plantagenet really was and who killed the Little Princes in the Tower.

The Daughter of Time is an ingeniously plotted, beautifully written, and suspenseful tale, a supreme achievement from one of mystery writing’s most gifted masters.",3.6,19,1951,http://covers.openlibrary.org/b/id/6485299-L.jpg
Charlie and the Great Glass Elevator,Roald Dahl,,"Taking up where Charlie and the Chocolate Factory leaves off, Charlie, his family, and Mr. Wonka find themselves launched into space in the great glass elevator.",3.9,50,1972,http://covers.openlibrary.org/b/id/7893583-L.jpg
Oliver Twist,Charles Dickens,,"Oliver Twist; or, The Parish Boy's Progress, is the second novel by English author Charles Dickens. It was originally published as a serial from 1837 to 1839, and as a three-volume book in 1838. The story follows the titular orphan, who, after being raised in a workhouse, escapes to London, where he meets a gang of juvenile pickpockets led by the elderly criminal Fagin, discovers the secrets of his parentage, and reconnects with his remaining family.

Oliver Twist unromantically portrays the sordid lives of criminals, and exposes the cruel treatment of the many orphans in London in the mid-19th century.[2] The alternative title, The Parish Boy's Progress, alludes to Bunyan's The Pilgrim's Progress, as well as the 18th-century caricature series by painter William Hogarth, A Rake's Progress and A Harlot's Progress.

In an early example of the social novel, Dickens satirises child labour, domestic violence, the recruitment of children as criminals, and the presence of street children. The novel may have been inspired by the story of Robert Blincoe, an orphan whose account of working as a child labourer in a cotton mill was widely read in the 1830s. It is likely that Dickens's own experiences as a youth contributed as well, considering he spent two years of his life in the workhouse at the age of 12 and subsequently, missed out on some of his education.",2.1,7,1822,http://covers.openlibrary.org/b/id/13300802-L.jpg
De la terre à la lune,Jules Verne,,Novela grafica,3.2,54,1865,http://covers.openlibrary.org/b/id/5943556-L.jpg
The Riddle of the Sands,Erskine Childers,,"Childers's lone masterpiece, THE RIDDLE OF THE SANDS, considered the first modern spy thriller, is recognisable as the brilliant forerunner of the realism of Graham Greene and John le Carre. Its unique flavour comes from its fine characterization,richly authentic background of inshore sailing and vivid evocation of the late 1890s - an atmosphere of mutual suspicion and intrigue that was soon to lead to war.",4.3,17,1903,http://covers.openlibrary.org/b/id/2293974-L.jpg
Fantastic Mr Fox,Roald Dahl,,"The main character of Fantastic Mr. Fox is an extremely clever anthropomorphized fox named Mr. Fox. He lives with his wife and four little foxes. In order to feed his family, he steals food from the cruel, brutish farmers named Boggis, Bunce, and Bean every night.

Finally tired of being constantly outwitted by Mr. Fox, the farmers attempt to capture and kill him. The foxes escape in time by burrowing deep into the ground. The farmers decide to wait outside the hole for the foxes to emerge. Unable to leave the hole and steal food, Mr. Fox and his family begin to starve. Mr. Fox devises a plan to steal food from the farmers by tunneling into the ground and borrowing into the farmer's houses.

Aided by a friendly Badger, the animals bring the stolen food back and Mrs. Fox prepares a great celebratory banquet attended by the other starving animals and their families. Mr. Fox invites all the animals to live with him underground and says that he will provide food for them daily thanks to his underground passages. All the animals live happily and safely, while the farmers remain waiting outside in vain for Mr. Fox to show up.",3.5,27,1970,http://covers.openlibrary.org/b/id/6498519-L.jpg
Le avventure di Pinocchio,Carlo Collodi,,A wooden puppet full of tricks and mischief wants more than anything else to become a real boy.,3.4,12,1883,http://covers.openlibrary.org/b/id/8597022-L.jpg
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,,"For Harry Potter, it’s the start of another far-from-ordinary year at Hogwarts when the Knight Bus crashes through the darkness and comes to an abrupt halt in front of him.

It turns out that Sirius Black, mass-murderer and follower of Lord Voldemort, has escaped – and they say he is coming after Harry.

In his first Divination class, Professor Trelawney sees an omen of death in Harry’s tea leaves.

And perhaps most frightening of all are the Dementors patrolling the school grounds with their soul-sucking kiss – in search of fresh victims.

([source][1])


  [1]: https://www.jkrowling.com/book/harry-potter-prisoner-azkaban/",3.8,20,1999,http://covers.openlibrary.org/b/id/10580435-L.jpg
The Hunger Games,Suzanne Collins,,"The Hunger Games is a 2008 dystopian novel by the American writer Suzanne Collins. It is written in the perspective of 16-year-old Katniss Everdeen, who lives in the future, post-apocalyptic nation of Panem in North America. The Capitol, a highly advanced metropolis, exercises political control over the rest of the nation. The Hunger Games is an annual event in which one boy and one girl aged 12–18 from each of the twelve districts surrounding the Capitol are selected by lottery to compete in a televised battle royale to the death.

The book received critical acclaim from major reviewers and authors. It was praised for its plot and character development. In writing The Hunger Games, Collins drew upon Greek mythology, Roman gladiatorial games, and contemporary reality television for thematic content. The novel won many awards, including the California Young Reader Medal, and was named one of Publishers Weekly's ""Best Books of the Year"" in 2008.

The Hunger Games was first published in hardcover on September 14, 2008, by Scholastic, featuring a cover designed by Tim O'Brien.",3.1,11,2008,http://covers.openlibrary.org/b/id/12646537-L.jpg
The Railway Children,Edith Nesbit,,"When Father mysteriously goes away, the children and their mother leave their happy life in London to go and live in a small cottage in the country. 'The Three Chimneys' lies beside a railway track - a constant source of enjoyment to all three. They make friends with the Station Master and Perks the Porter, as well as the jovial 'Old Gentleman' who waves to them everyday from the train. But the mystery remains: where is Father, and will he ever return?",3.2,172,1900,http://covers.openlibrary.org/b/id/13241123-L.jpg
